Assignement,Charge,Elemental composition,Mass
z8,9-,C86H108N33O39P7S7,295.367062
c6,7-,C66H85N20O34P6S6,296.025395
x5,6-,C56H71N21O27P5S5,296.361389
y8,9-,C86H108N33O40P7S7,297.144275
d6,7-,C66H86N20O35P6S6,298.454358
c7,8-,C76H98N22O40P7S7,298.899211
w5,6-,C56H72N21O28P5S5,299.195179
x6,7-,C66H83N26O31P6S6,300.885117
d7,8-,C76H99N22O41P7S7,301.024553
c8,9-,C86H110N27O44P8S8,302.135686
x7,8-,C76H96N28O37P7S7,303.151467
w6,7-,C66H84N26O32P6S6,303.31408
d8,9-,C86H111N27O45P8S8,304.024879
w7,8-,C76H97N28O38P7S7,305.276809
x8,9-,C86H108N33O41P8S8,305.915469
w8,9-,C86H109N33O42P8S8,307.804662
b1,1-,C12H15N5O5,308.100042
z2,2-,C24H31N8O10P1S1,326.073797
a2,2-,C24H31N8O10P1S1,326.073797
a9,9-,C96H122N32O46P8S8,328.146697
a8,8-,C86H110N27O42P7S7,328.161598
a7,7-,C76H98N22O38P6S6,328.180757
a6,6-,C66H85N20O32P5S5,329.70823
b9,9-,C96H122N32O47P8S8,329.92391
b8,8-,C86H110N27O43P7S7,330.160963
b7,7-,C76H98N22O39P6S6,330.465745
z9,9-,C96H120N38O43P8S8,331.92648
a5,5-,C56H71N17O27P4S4,332.043496
b6,6-,C66H85N20O33P5S5,332.37405
z8,8-,C86H108N33O39P7S7,332.413854
z7,7-,C76H96N28O35P6S6,333.040479
y9,9-,C96H120N38O44P8S8,333.703693
y2,2-,C24H31N8O11P1S1,334.071255
b2,2-,C24H31N8O11P1S1,334.071255
y8,8-,C86H108N33O40P7S7,334.413219
z4,4-,C46H59N16O20P3S3,335.054387
b5,5-,C56H71N17O28P4S4,335.242479
a4,4-,C46H58N15O21P3S3,335.300391
y7,7-,C76H96N28O36P6S6,335.325466
z6,6-,C66H83N26O29P5S5,335.377905
z5,5-,C56H71N21O25P4S4,336.847989
y6,6-,C66H83N26O30P5S5,338.043725
c9,9-,C96H122N32O48P9S9,338.695104
y4,4-,C46H59N16O21P3S3,339.053115
b4,4-,C46H58N15O22P3S3,339.299119
c8,8-,C86H110N27O44P8S8,340.028556
y5,5-,C56H71N21O26P4S4,340.046972
d9,9-,C96H123N32O49P9S9,340.584297
z3,3-,C36H45N13O15P2S2,340.728548
a3,3-,C36H45N13O15P2S2,340.728548
c7,7-,C76H98N22O40P7S7,341.742995
d8,8-,C86H111N27O45P8S8,342.153898
x9,9-,C96H120N38O45P9S9,342.474887
d7,7-,C76H99N22O41P7S7,344.171957
x8,8-,C86H108N33O41P8S8,344.280812
w9,9-,C96H121N38O46P9S9,344.36408
c6,6-,C66H85N20O34P6S6,345.530841
y3,3-,C36H45N13O16P2S2,346.060186
b3,3-,C36H45N13O16P2S2,346.060186
w8,8-,C86H109N33O42P8S8,346.406155
x7,7-,C76H96N28O37P7S7,346.602716
d6,6-,C66H86N20O35P6S6,348.364631
w7,7-,C76H97N28O38P7S7,349.031679
c5,5-,C56H71N17O29P5S5,351.030629
x6,6-,C66H83N26O31P6S6,351.200516
w6,6-,C66H84N26O32P6S6,354.034306
d5,5-,C56H72N17O30P5S5,354.431176
x5,5-,C56H71N21O27P5S5,355.835122
x4,4-,C46H59N16O22P4S4,358.788302
c4,4-,C46H58N15O23P4S4,359.034306
w5,5-,C56H72N21O28P5S5,359.23567
x1,1-,C12H17N3O6P1S1,361.050292
w4,4-,C46H60N16O23P4S4,363.038987
d4,4-,C46H59N15O24P4S4,363.284991
a10,9-,C106H135N34O52P9S9,363.70483
b10,9-,C106H135N34O53P9S9,365.482042
z10,9-,C106H133N40O49P9S9,367.484613
y10,9-,C106H133N40O50P9S9,369.261826
a9,8-,C96H122N32O46P8S8,369.290943
b9,8-,C96H122N32O47P8S8,371.290308
c3,3-,C36H45N13O17P3S3,372.373769
x3,3-,C36H45N13O17P3S3,372.373769
x2,2-,C24H31N8O12P2S2,373.541628
c2,2-,C24H31N8O12P2S2,373.541628
z9,8-,C96H120N38O43P8S8,373.5432
c10,9-,C106H135N34O54P10S10,374.253236
a8,7-,C86H110N27O42P7S7,375.185723
y9,8-,C96H120N38O44P8S8,375.542564
d10,9-,C106H136N34O55P10S10,376.14243
b8,7-,C86H110N27O43P7S7,377.470711
x10,9-,C106H133N40O51P10S10,378.03302
d3,3-,C36H46N13O18P3S3,378.041349
w3,3-,C36H46N13O18P3S3,378.041349
w1,1-,C12H18N3O7P1S1,378.053032
w10,9-,C106H134N40O52P10S10,379.922213
z8,7-,C86H108N33O39P7S7,380.045445
c9,8-,C96H122N32O48P9S9,381.157901
d2,2-,C24H32N8O13P2S2,382.042998
w2,2-,C24H32N8O13P2S2,382.042998
y8,7-,C86H108N33O40P7S7,382.330432
a7,6-,C76H98N22O38P6S6,383.045429
